Device,S1_Coverage,S2_Efficiency,S3_Scaling,S4_AccuracyRetention,S5_ThroughputGain,S6_PeakComputeEff,S7_PowerEff,N_M_Global,N_FeasibleBaseTasks,N_ResTasks,N_FeasibleResTasks,N_Models_Base,N_FeasibleModels_Base,PeakCompute_TOPS,Power_W
RTX PRO 6000 Max-Q,1.0,0.6128954476717917,0.36917836756638134,1.0,0.9153923133776415,0.0,0.0,67,67,78,78,16,16,110.0,300.0
Mobilint-ARIES,0.9402985074626866,0.5899599749988642,0.7064475235359255,0.8252882391484541,0.9999999743121816,0.5397504152969047,0.7507696580168159,67,63,78,78,16,16,80.0,25.0
Hailo-8,0.7164179104477612,0.4196511530113009,0.4115975647606427,0.8872718786195494,0.6866979780726369,0.9448643868170278,0.8430568384761045,67,48,78,78,13,9,26.0,8.65
DeepX M1,0.7164179104477612,0.4760181512872335,0.8463579071209417,0.8432141247096837,0.6709836180160553,0.9999999860038516,0.9999999992415942,67,48,78,78,13,9,25.0,5.0
Qualcomm QCS6490,0.6567164179104478,0.4618717409928026,0.7430196129450359,0.8404275144896423,0.20693767116302433,0.4746468325085051,0.48883766790642463,67,44,78,78,16,9,12.0,9.0
