task,scenario,accuracy,samples_per_second,accelerator_type,benchmark_model
Image Classification,Offline,70.51,481.0131281,Qualcomm QCS6490,resnet18_leakyrelu_w1_0
Image Classification,Offline,68.92,98.69562139,Qualcomm QCS6490,resnet18_prelu_w1_0
Image Classification,Offline,68.33,389.222559,Qualcomm QCS6490,resnet18_elu_w1_0
Image Classification,Offline,66.46,93.3809192,Qualcomm QCS6490,resnet18_selu_w1_0
Image Classification,Offline,71.03,587.3528919,Qualcomm QCS6490,resnet18_relu6_w1_0
Image Classification,Offline,71.02,584.1822778,Qualcomm QCS6490,resnet18_relu_w1_0
Image Classification,Offline,81.667,226.357,NVIDIA Jetson Orin,resnet18_silu_w1_0
Image Classification,Offline,79.167,226.68,NVIDIA Jetson Orin,resnet18_selu_w1_0
Image Classification,Offline,80.833,231.457,NVIDIA Jetson Orin,resnet18_relu6_w1_0
Image Classification,Offline,85.833,228.588,NVIDIA Jetson Orin,resnet18_relu_w1_0
Image Classification,Offline,75.833,229.407,NVIDIA Jetson Orin,resnet18_prelu_w1_0
Image Classification,Offline,80.833,198.088,NVIDIA Jetson Orin,resnet18_mish_w1_0
Image Classification,Offline,82.5,227.084,NVIDIA Jetson Orin,resnet18_leakyrelu_w1_0
Image Classification,Offline,80.0,190.822,NVIDIA Jetson Orin,resnet18_hardswish_w1_0
Image Classification,Offline,77.5,244.144,NVIDIA Jetson Orin,resnet18_gelu_w1_0
Image Classification,Offline,82.5,222.44799999999998,NVIDIA Jetson Orin,resnet18_elu_w1_0
