task,scenario,accuracy,sample_latency_average,accelerator_type,benchmark_model
Image Classification,Single-Stream,64.74,0.396390541,Apple M4 ANE,resnet10_w1_0
Image Classification,Single-Stream,78.8,13.16632811,Qualcomm QCS6490,resnet50_w2_0
Image Classification,Single-Stream,78.05,8.619271758,Qualcomm QCS6490,resnet50_w1_5
Image Classification,Single-Stream,76.47,4.238527982,Qualcomm QCS6490,resnet50_w1_0
Image Classification,Single-Stream,75.73,3.184296012,Qualcomm QCS6490,resnet50_w0_75
Image Classification,Single-Stream,72.4,2.381230007,Qualcomm QCS6490,resnet50_w0_5
Image Classification,Single-Stream,64.42,1.860398399,Qualcomm QCS6490,resnet50_w0_25
Image Classification,Single-Stream,75.29,3.801886235,Qualcomm QCS6490,resnet34_w1_0
Image Classification,Single-Stream,75.53,6.120752313,Qualcomm QCS6490,resnet18_w2_0
Image Classification,Single-Stream,74.54,4.038510878,Qualcomm QCS6490,resnet18_w1_5
Image Classification,Single-Stream,71.37,2.684377926,Qualcomm QCS6490,resnet18_w1_0
Image Classification,Single-Stream,68.88,2.353077977,Qualcomm QCS6490,resnet18_w0_75
Image Classification,Single-Stream,63.37,1.78534362,Qualcomm QCS6490,resnet18_w0_5
Image Classification,Single-Stream,51.67,1.553813604,Qualcomm QCS6490,resnet18_w0_25
Image Classification,Single-Stream,64.75,2.142495452,Qualcomm QCS6490,resnet10_w1_0
Image Classification,Single-Stream,79.25,6.335469145,Qualcomm QCS6490,resnet101_w1_0
Image Classification,Single-Stream,79.21,6.558203572,RTX PRO 6000 Max-Q,resnet101_w1_0
Image Classification,Single-Stream,79.22,7.423236597000001,RTX PRO 6000 Max-Q,resnet50_w2_0
Image Classification,Single-Stream,78.56,5.725646195,RTX PRO 6000 Max-Q,resnet50_w1_5
Image Classification,Single-Stream,76.88,3.520070045,RTX PRO 6000 Max-Q,resnet50_w1_0
Image Classification,Single-Stream,75.69,2.7217279210000003,RTX PRO 6000 Max-Q,resnet50_w0_75
Image Classification,Single-Stream,64.55,1.176645531,RTX PRO 6000 Max-Q,resnet50_w0_25
