task,scenario,accuracy,samples_per_second,accelerator_type,benchmark_model
Image Classification,Offline,75.69,2577.145989,RTX PRO 6000 Max-Q,resnet50_w0_75
Image Classification,Offline,64.55,4767.055786999998,RTX PRO 6000 Max-Q,resnet50_w0_25
Image Classification,Offline,72.83,3565.410423,RTX PRO 6000 Max-Q,resnet50_w0_5
Image Classification,Offline,75.34,3371.6343880000004,RTX PRO 6000 Max-Q,resnet34_w1_0
Image Classification,Offline,75.51,2493.198637,RTX PRO 6000 Max-Q,resnet18_w2_0
Image Classification,Offline,74.76,3209.8236890000007,RTX PRO 6000 Max-Q,resnet18_w1_5
Image Classification,Offline,71.66,4172.814878,RTX PRO 6000 Max-Q,resnet18_w1_0
Image Classification,Offline,69.25,4595.88851,RTX PRO 6000 Max-Q,resnet18_w0_75
Image Classification,Offline,51.88,5773.322341,RTX PRO 6000 Max-Q,resnet18_w0_25
Image Classification,Offline,63.65,5204.377799,RTX PRO 6000 Max-Q,resnet18_w0_5
Image Classification,Offline,64.76,4922.276255,RTX PRO 6000 Max-Q,resnet10_w1_0
Image Classification,Offline,78.96,89.25455517,Qualcomm QCS6490,resnet50_w2_0
Image Classification,Offline,78.05,157.76283999999995,Qualcomm QCS6490,resnet50_w1_5
Image Classification,Offline,75.5,217.4153679,Qualcomm QCS6490,resnet18_w2_0
Image Classification,Offline,79.26,208.3662461,Qualcomm QCS6490,resnet101_w1_0
Image Classification,Offline,76.62,330.2931461,Qualcomm QCS6490,resnet50_w1_0
Image Classification,Offline,74.7,334.586254,Qualcomm QCS6490,resnet18_w1_5
Image Classification,Offline,75.27,375.8708746,Qualcomm QCS6490,resnet34_w1_0
Image Classification,Offline,75.72,464.6726342,Qualcomm QCS6490,resnet50_w0_75
Image Classification,Offline,71.19,582.6158795,Qualcomm QCS6490,resnet18_w1_0
Image Classification,Offline,72.37,713.2303164,Qualcomm QCS6490,resnet50_w0_5
Image Classification,Offline,68.9,701.1253843999998,Qualcomm QCS6490,resnet18_w0_75
Image Classification,Offline,64.85,818.9217242000002,Qualcomm QCS6490,resnet10_w1_0
Image Classification,Offline,63.38,1021.158285,Qualcomm QCS6490,resnet18_w0_5
Image Classification,Offline,64.52,1000.1731,Qualcomm QCS6490,resnet50_w0_25
Image Classification,Offline,51.79,1214.237157,Qualcomm QCS6490,resnet18_w0_25
Image Classification,Offline,86.667,67.061,NVIDIA Jetson Orin,resnet101_w1_0
