task,scenario,accuracy,samples_per_second,accelerator_type,benchmark_model
Image Classification,Offline,66.97,803.6876192000002,Qualcomm QCS6490,mobilenetv2_relu6_w1_0
Image Classification,Offline,67.15,794.8050103999999,Qualcomm QCS6490,mobilenetv2_relu_w1_0
Image Classification,Offline,78.333,194.57299999999998,NVIDIA Jetson Orin,mobilenetv2_silu_w1_0
Image Classification,Offline,70.0,193.877,NVIDIA Jetson Orin,mobilenetv2_selu_w1_0
Image Classification,Offline,75.0,184.293,NVIDIA Jetson Orin,mobilenetv2_relu6_w1_0
Image Classification,Offline,79.167,194.15,NVIDIA Jetson Orin,mobilenetv2_relu_w1_0
Image Classification,Offline,80.0,187.636,NVIDIA Jetson Orin,mobilenetv2_prelu_w1_0
Image Classification,Offline,78.333,140.70600000000002,NVIDIA Jetson Orin,mobilenetv2_mish_w1_0
Image Classification,Offline,75.833,188.91,NVIDIA Jetson Orin,mobilenetv2_leakyrelu_w1_0
Image Classification,Offline,78.333,127.648,NVIDIA Jetson Orin,mobilenetv2_hardswish_w1_0
Image Classification,Offline,80.833,189.542,NVIDIA Jetson Orin,mobilenetv2_gelu_w1_0
Image Classification,Offline,75.0,196.475,NVIDIA Jetson Orin,mobilenetv2_elu_w1_0
