normalized_model,model_family,accelerator_type,accuracy,baseline_accuracy,accuracy_drop,accuracy_drop_percent
regnet_x_400mf,RegNetX-400MF,Hailo-8,75.87,76.34,0.46999999999999886,0.6156667539952827
regnet_x_800mf,RegNetX-800MF,Hailo-8,78.03,78.55,0.519999999999996,0.6619987269255201
regnet_x_8gf,RegNetX-8GF,Hailo-8,81.05,82.56,1.5100000000000051,1.8289728682170603
regnet_y_3_2gf,RegNetY-3.2GF,Hailo-8,82.37,82.56,0.18999999999999773,0.23013565891472593
regnet_y_800mf,RegNetY-800MF,Hailo-8,79.82,80.32,0.5,0.6225099601593626
regnet_x_1_6gf,RegNetX-1.6GF,Mobilint-ARIES,79.75,80.43,0.6800000000000068,0.8454556757428905
regnet_x_3_2gf,RegNetX-3.2GF,Mobilint-ARIES,81.24,81.82,0.5799999999999983,0.7088731361525279
regnet_x_8gf,RegNetX-8GF,Mobilint-ARIES,82.51,82.56,0.04999999999999716,0.060562015503872524
regnet_x_400mf,RegNetX-400MF,Mobilint-ARIES,75.49,76.34,0.8500000000000085,1.1134398742468017
regnet_x_800mf,RegNetX-800MF,Mobilint-ARIES,78.28,78.55,0.269999999999996,0.3437301082113253
regnet_y_1_6gf,RegNetY-1.6GF,Mobilint-ARIES,81.86,82.18,0.3200000000000074,0.3893891457775704
regnet_y_3_2gf,RegNetY-3.2GF,Mobilint-ARIES,82.15,82.56,0.4099999999999966,0.4966085271317788
regnet_y_8gf,RegNetY-8GF,Mobilint-ARIES,83.52,83.8,0.28000000000000114,0.3341288782816243
regnet_y_400mf,RegNetY-400MF,Mobilint-ARIES,77.54,77.7,0.1599999999999966,0.20592020592020152
regnet_y_800mf,RegNetY-800MF,Mobilint-ARIES,79.67,80.32,0.6499999999999915,0.8092629482071607
regnet_x_1_6gf,RegNetX-1.6GF,DeepX M1,78.84,80.43,1.5900000000000034,1.9768743006340956
regnet_x_3_2gf,RegNetX-3.2GF,DeepX M1,80.99,81.82,0.8299999999999983,1.014421901735515
regnet_x_8gf,RegNetX-8GF,DeepX M1,82.07,82.56,0.4900000000000091,0.5935077519379955
regnet_x_400mf,RegNetX-400MF,DeepX M1,75.98,76.34,0.35999999999999943,0.4715745349751106
regnet_x_800mf,RegNetX-800MF,DeepX M1,77.91,78.55,0.6400000000000006,0.8147676639083393
regnet_y_1_6gf,RegNetY-1.6GF,DeepX M1,81.97,82.18,0.21000000000000796,0.25553662691653434
regnet_y_3_2gf,RegNetY-3.2GF,DeepX M1,82.23,82.56,0.3299999999999983,0.39970930232557933
regnet_y_8gf,RegNetY-8GF,DeepX M1,83.72,83.8,0.0799999999999983,0.09546539379474736
regnet_y_400mf,RegNetY-400MF,DeepX M1,77.22,77.7,0.480000000000004,0.6177606177606229
regnet_y_800mf,RegNetY-800MF,DeepX M1,79.13,80.32,1.1899999999999977,1.48157370517928
regnet_y_8gf,RegNetY-8GF,Qualcomm QCS6490,83.02,83.8,0.7800000000000011,0.930787589498808
regnet_x_8gf,RegNetX-8GF,Qualcomm QCS6490,79.83,82.56,2.730000000000004,3.3066860465116323
regnet_y_3_2gf,RegNetY-3.2GF,Qualcomm QCS6490,81.64,82.56,0.9200000000000017,1.1143410852713198
regnet_x_3_2gf,RegNetX-3.2GF,Qualcomm QCS6490,81.62,81.82,0.19999999999998863,0.24443901246637575
regnet_y_1_6gf,RegNetY-1.6GF,Qualcomm QCS6490,81.54,82.18,0.6400000000000006,0.7787782915551236
regnet_x_1_6gf,RegNetX-1.6GF,Qualcomm QCS6490,78.6,80.43,1.8300000000000125,2.275270421484536
regnet_x_800mf,RegNetX-800MF,Qualcomm QCS6490,77.78,78.55,0.769999999999996,0.9802673456397148
regnet_y_800mf,RegNetY-800MF,Qualcomm QCS6490,79.45,80.32,0.8699999999999903,1.0831673306772789
regnet_x_400mf,RegNetX-400MF,Qualcomm QCS6490,75.77,76.34,0.5700000000000074,0.7466596803772693
regnet_y_400mf,RegNetY-400MF,Qualcomm QCS6490,77.56,77.7,0.14000000000000057,0.1801801801801809
regnet_y_800mf,RegNetY-800MF,Apple M4 ANE,80.29,80.32,0.029999999999986926,0.037350597609545476
regnet_y_400mf,RegNetY-400MF,Apple M4 ANE,77.72,77.7,-0.01999999999999602,-0.02574002574002062
regnet_y_8gf,RegNetY-8GF,Apple M4 ANE,83.79,83.8,0.009999999999990905,0.011933174224332823
regnet_y_3_2gf,RegNetY-3.2GF,Apple M4 ANE,82.58,82.56,-0.01999999999999602,-0.024224806201545566
regnet_y_1_6gf,RegNetY-1.6GF,Apple M4 ANE,82.17,82.18,0.010000000000005116,0.01216841080555502
regnet_x_800mf,RegNetX-800MF,Apple M4 ANE,78.55,78.55,0.0,0.0
regnet_x_400mf,RegNetX-400MF,Apple M4 ANE,76.4,76.34,-0.060000000000002274,-0.07859575582918821
regnet_x_8gf,RegNetX-8GF,Apple M4 ANE,82.58,82.56,-0.01999999999999602,-0.024224806201545566
regnet_x_3_2gf,RegNetX-3.2GF,Apple M4 ANE,81.84,81.82,-0.020000000000010232,-0.024443901246651467
regnet_x_1_6gf,RegNetX-1.6GF,Apple M4 ANE,80.42,80.43,0.010000000000005116,0.012433171702107566
regnet_y_800mf,RegNetY-800MF,RTX PRO 6000 Max-Q,80.32,80.32,0.0,0.0
regnet_y_400mf,RegNetY-400MF,RTX PRO 6000 Max-Q,77.7,77.7,0.0,0.0
regnet_y_8gf,RegNetY-8GF,RTX PRO 6000 Max-Q,83.8,83.8,0.0,0.0
regnet_y_3_2gf,RegNetY-3.2GF,RTX PRO 6000 Max-Q,82.56,82.56,0.0,0.0
regnet_y_1_6gf,RegNetY-1.6GF,RTX PRO 6000 Max-Q,82.18,82.18,0.0,0.0
regnet_x_800mf,RegNetX-800MF,RTX PRO 6000 Max-Q,78.55,78.55,0.0,0.0
regnet_x_400mf,RegNetX-400MF,RTX PRO 6000 Max-Q,76.34,76.34,0.0,0.0
regnet_x_8gf,RegNetX-8GF,RTX PRO 6000 Max-Q,82.56,82.56,0.0,0.0
regnet_x_3_2gf,RegNetX-3.2GF,RTX PRO 6000 Max-Q,81.82,81.82,0.0,0.0
regnet_x_1_6gf,RegNetX-1.6GF,RTX PRO 6000 Max-Q,80.43,80.43,0.0,0.0
shufflenet_v2_x1_0,ShuffleNetV2-x1.0,Hailo-8,70.71,70.92,0.21000000000000796,0.2961082910321601
shufflenet_v2_x1_5,ShuffleNetV2-x1.5,Hailo-8,74.34,74.44,0.09999999999999432,0.13433637829123363
