activation,Apple M4 ANE,DeepX M1,Hailo-8,Mobilint-ARIES,Qualcomm QCS6490,RTX PRO 6000 Max-Q
ELU,0.7638424040658047,,4.427341935252638,10.537359267591299,2.141682272380214,10.05139220103104
GELU,0.46137328929588517,7.344581421465942,5.504212983172918,13.29690515414853,0.10480683754239502,12.618104298834993
HARDSWISH,11.837787145357398,6.242921840593863,4.5814071793150655,11.129504834467653,0.21234943506661605,7.857141885589883
LEAKYRELU,20.391630955372747,5.0107577587263865,3.9185485501720803,9.545019210862408,2.9581754112369016,8.842463086839127
MISH,0.798150002641175,12.451689348389559,9.942445053999256,24.232910758516088,0.13602626530658632,18.492647487647766
PRELU,21.515849414513582,1.2719315106382876,1.4529237329627755,10.189187328834148,0.19279158949738714,9.38700293089039
RELU,20.6389070781367,4.974845475506643,3.9898270184313813,9.562711615573463,3.293542328386815,8.577691576668443
RELU6,18.63762067178637,5.039696748093446,4.008377149678974,9.533516170248378,3.359319152450627,8.94545600792927
SELU,0.7634407140522291,0.1026673949996186,,10.819943152820851,0.1967130008743578,10.298534100105531
SILU,14.279138642559126,5.931728374933378,4.658339461556772,11.286012200620364,3.4047391167450964,10.467549394995725
