Model,Hardware,Activation,Baseline_Accuracy,NPU_Accuracy,Accuracy_Degradation,Degradation_Percentage
ResNet18,Mobilint-ARIES,MISH,71.96,71.11,0.8499999999999943,1.181211784324617
ResNet18,DeepX M1,MISH,71.96,71.86,0.09999999999999432,0.1389660922734774
ResNet18,Hailo-8,MISH,71.96,71.64,0.3199999999999932,0.4446914952751434
ResNet18,Qualcomm QCS6490,MISH,71.96,71.82,0.14000000000000057,0.19455252918288019
ResNet18,RTX PRO 6000 Max-Q,MISH,71.96,71.96,0.0,0.0
ResNet18,Apple M4 ANE,LEAKYRELU,71.54,71.5,0.04000000000000625,0.05591277606934058
ResNet18,Mobilint-ARIES,LEAKYRELU,71.54,70.98,0.5600000000000023,0.7827788649706489
ResNet18,DeepX M1,LEAKYRELU,71.54,71.17,0.37000000000000455,0.5171931786413259
ResNet18,Hailo-8,LEAKYRELU,71.54,71.35,0.19000000000001194,0.26558568632934293
ResNet18,Qualcomm QCS6490,LEAKYRELU,71.54,70.42,1.1200000000000045,1.5655577299412977
ResNet18,RTX PRO 6000 Max-Q,LEAKYRELU,71.54,71.54,0.0,0.0
ResNet18,Apple M4 ANE,HARDSWISH,71.43,71.44,-0.009999999999990905,-0.013999720005587154
ResNet18,Mobilint-ARIES,HARDSWISH,71.43,70.79,0.6400000000000006,0.8959820803583936
ResNet18,DeepX M1,HARDSWISH,71.43,70.93,0.5,0.6999860002799944
ResNet18,Hailo-8,HARDSWISH,71.43,70.79,0.6400000000000006,0.8959820803583936
ResNet18,Qualcomm QCS6490,HARDSWISH,71.43,70.01,1.4200000000000017,1.9879602407951862
ResNet18,RTX PRO 6000 Max-Q,HARDSWISH,71.43,71.43,0.0,0.0
ResNet18,Apple M4 ANE,GELU,72.21,72.23,-0.020000000000010232,-0.02769699487607012
ResNet18,Mobilint-ARIES,GELU,72.21,71.48,0.7299999999999898,1.010940312976028
ResNet18,DeepX M1,GELU,72.21,72.16,0.04999999999999716,0.06924248719013594
ResNet18,Hailo-8,GELU,72.21,71.56,0.6499999999999915,0.9001523334718067
ResNet18,Qualcomm QCS6490,GELU,72.21,71.88,0.3299999999999983,0.4570004154549208
ResNet18,RTX PRO 6000 Max-Q,GELU,72.21,72.21,0.0,0.0
ResNet18,Apple M4 ANE,ELU,68.68,68.66,0.020000000000010232,0.029120559114749894
ResNet18,Mobilint-ARIES,ELU,68.68,67.28,1.4000000000000057,2.038439138031458
ResNet18,Hailo-8,ELU,68.68,68.47,0.21000000000000796,0.3057658707047291
ResNet18,Qualcomm QCS6490,ELU,68.68,68.59,0.09000000000000341,0.13104251601631245
ResNet18,RTX PRO 6000 Max-Q,ELU,68.68,68.68,0.0,0.0
