activation,Apple M4 ANE,DeepX M1,Hailo-8,Mobilint-ARIES,Qualcomm QCS6490,RTX PRO 6000 Max-Q
ELU,3.646088266901329,,12.614147059995616,17.784584523714866,5.771225906066532,13.29581610865519
GELU,2.0493808007379313,10.63321836853189,13.270065326586892,18.537222904902514,0.47530520866246595,14.32552079127279
HARDSWISH,26.129624728366494,10.25781941635918,12.734923362564787,17.58233103243428,0.98979723448783,11.389769228477931
LEAKYRELU,31.5731494730822,9.996849658629309,12.407086018896875,17.27139089412283,6.540276221789749,14.424409075167565
MISH,2.1959561482908154,12.171962719729768,15.46127165340676,21.322855717737543,0.38941355163645164,13.929289427433961
PRELU,31.935314240469744,5.9911833704505,10.573727595068192,17.686697167199505,0.9911603871247615,13.415583575442776
RELU,31.559515932516206,9.963249983724012,12.74519477669702,17.463951826093606,7.140794781930256,13.147052700504931
RELU6,30.568965140242472,10.19346306798948,12.798087390240193,17.288561188288828,7.258745305723275,11.979202326554091
SELU,3.6699360430509693,0.12068602446894523,,17.74364204345935,0.9112764205056566,13.10574344075046
SILU,27.510740439006195,9.962893994360616,12.653890146314636,17.855421850423326,6.538189781978639,13.015605580043779
