task,scenario,accuracy,epoch_samples_per_second_min,samples_per_second,epoch_samples_per_second_max,cpu_type,accelerator_type,submitter,input_resolution,benchmark_model
Image Classification,Offline,66.78,1665.23624,1665.23624,1665.23624,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:288,mobilenetv2_w1_0
Image Classification,Offline,76.58,264.7458713,264.7458713,264.7458713,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:368,resnet101_w1_0
Image Classification,Offline,76.74,346.0781523,346.0781523,346.0781523,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:352,resnet101_w1_0
Image Classification,Offline,65.27,1100.31144,1100.31144,1100.31144,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:352,mobilenetv2_w1_0
Image Classification,Offline,75.13,520.4391424,520.4391424,520.4391424,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:336,resnet50_w1_0
Image Classification,Offline,77.5,393.5466512,393.5466512,393.5466512,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:320,resnet101_w1_0
Image Classification,Offline,77.51,641.5474065,641.5474065,641.5474065,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:208,resnet101_w1_0
Image Classification,Offline,75.53,1035.405381,1035.405381,1035.405381,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:208,resnet50_w1_0
Image Classification,Offline,65.43,3064.928468,3064.928468,3064.928468,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:208,mobilenetv2_w1_0
Image Classification,Offline,74.64,1106.428368,1106.428368,1106.428368,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:192,resnet50_w1_0
Image Classification,Offline,72.61,767.7491583,767.7491583,767.7491583,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:144,resnet101_w1_0
Image Classification,Offline,66.69,1288.621957,1288.621957,1288.621957,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:128,resnet50_w1_0
Image Classification,Offline,65.08,817.6422097,817.6422097,817.6422097,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:112,resnet101_w1_0
Image Classification,Offline,46.81,842.7130558,842.7130558,842.7130558,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:80,resnet101_w1_0
Image Classification,Offline,31.39,841.9186819,841.9186819,841.9186819,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:64,resnet101_w1_0
Image Classification,Offline,16.46,4662.846125,4662.846125,4662.846125,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:64,mobilenetv2_w1_0
Image Classification,Offline,15.57,851.5818863,851.5818863,851.5818863,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:48,resnet101_w1_0
Image Classification,Offline,66.97,2223.099607,2223.099607,2223.099607,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:256,mobilenetv2_w1_0
Image Classification,Offline,78.05,556.0050827,556.0050827,556.0050827,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:240,resnet101_w1_0
Image Classification,Offline,66.5,2529.713614,2529.713614,2529.713614,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:240,mobilenetv2_w1_0
Image Classification,Offline,76.15,738.4292386,738.4292386,738.4292386,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:176,resnet101_w1_0
Image Classification,Offline,74.73,751.1388994,751.1388994,751.1388994,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:160,resnet101_w1_0
Image Classification,Offline,61.58,4234.95213,4234.95213,4234.95213,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:160,mobilenetv2_w1_0
Image Classification,Offline,53.85,1319.0378,1319.0378,1319.0378,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:96,resnet50_w1_0
Image Classification,Offline,78.16,573.0055869,573.0055869,573.0055869,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:256,resnet101_w1_0
Image Classification,Offline,76.05,894.0471933,894.0471933,894.0471933,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:256,resnet50_w1_0
Image Classification,Offline,75.81,886.4433406,886.4433406,886.4433406,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:240,resnet50_w1_0
Image Classification,Offline,77,929.2567305,929.2567305,929.2567305,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:224,resnet50_w1_0
Image Classification,Offline,76.83,686.8357284,686.8357284,686.8357284,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:192,resnet101_w1_0
Image Classification,Offline,73.34,1186.701425,1186.701425,1186.701425,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:176,resnet50_w1_0
Image Classification,Offline,64.06,3943.626404,3943.626404,3943.626404,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:176,mobilenetv2_w1_0
Image Classification,Offline,69.98,1225.130221,1225.130221,1225.130221,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:144,resnet50_w1_0
Image Classification,Offline,58.74,4373.757148,4373.757148,4373.757148,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:144,mobilenetv2_w1_0
Image Classification,Offline,53.99,4518.953119,4518.953119,4518.953119,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:128,mobilenetv2_w1_0
Image Classification,Offline,62.32,1289.498766,1289.498766,1289.498766,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:112,resnet50_w1_0
Image Classification,Offline,48.52,4584.11647,4584.11647,4584.11647,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:112,mobilenetv2_w1_0
Image Classification,Offline,56.57,824.1075168,824.1075168,824.1075168,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:96,resnet101_w1_0
Image Classification,Offline,39.02,4584.249284,4584.249284,4584.249284,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:96,mobilenetv2_w1_0
Image Classification,Offline,43.84,1333.759187,1333.759187,1333.759187,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:80,resnet50_w1_0
Image Classification,Offline,29.29,4677.061823,4677.061823,4677.061823,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:80,mobilenetv2_w1_0
Image Classification,Offline,28.76,1346.565592,1346.565592,1346.565592,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:64,resnet50_w1_0
Image Classification,Offline,6.7,4749.765265,4749.765265,4749.765265,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:48,mobilenetv2_w1_0
Image Classification,Offline,79.06,586.8981976,586.8981976,586.8981976,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:224,resnet101_w1_0
Image Classification,Offline,68.11,2825.915681,2825.915681,2825.915681,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:224,mobilenetv2_w1_0
Image Classification,Offline,65.09,3827.921379,3827.921379,3827.921379,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:192,mobilenetv2_w1_0
Image Classification,Offline,72.18,1185.946579,1185.946579,1185.946579,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:160,resnet50_w1_0
Image Classification,Offline,69.85,810.3249529,810.3249529,810.3249529,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:128,resnet101_w1_0
Image Classification,Offline,13.38,1367.601931,1367.601931,1367.601931,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:48,resnet50_w1_0
Image Classification,Offline,60.06,2913.391834,2913.391834,2913.391834,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:448,mobilenetv2_w1_0
Image Classification,Offline,72.21,555.8806171,555.8806171,555.8806171,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:448,resnet50_w1_0
Image Classification,Offline,74.07,320.3418229,320.3418229,320.3418229,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:448,resnet101_w1_0
Image Classification,Offline,60.91,2953.618979,2953.618979,2953.618979,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:432,mobilenetv2_w1_0
Image Classification,Offline,72.41,575.1954659,575.1954659,575.1954659,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:432,resnet50_w1_0
Image Classification,Offline,74.87,320.0037045,320.0037045,320.0037045,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:432,resnet101_w1_0
Image Classification,Offline,61.14,3210.926927,3210.926927,3210.926927,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:416,mobilenetv2_w1_0
Image Classification,Offline,73.27,627.6794581,627.6794581,627.6794581,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:416,resnet50_w1_0
Image Classification,Offline,75.55,346.7784044,346.7784044,346.7784044,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:416,resnet101_w1_0
Image Classification,Offline,61.49,3330.917915,3330.917915,3330.917915,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:400,mobilenetv2_w1_0
Image Classification,Offline,73.09,637.121011,637.121011,637.121011,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:400,resnet50_w1_0
Image Classification,Offline,76.13,348.0723172,348.0723172,348.0723172,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:400,resnet101_w1_0
Image Classification,Offline,63.4,3762.576604,3762.576604,3762.576604,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:384,mobilenetv2_w1_0
Image Classification,Offline,73.82,700.9742474,700.9742474,700.9742474,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:384,resnet50_w1_0
Image Classification,Offline,76.57,408.8676873,408.8676873,408.8676873,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:384,resnet101_w1_0
Image Classification,Offline,63.32,4619.847465,4619.847465,4619.847465,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:368,mobilenetv2_w1_0
Image Classification,Offline,73.93,734.6572608,734.6572608,734.6572608,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:368,resnet50_w1_0
Image Classification,Offline,76.79,412.8096399,412.8096399,412.8096399,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:368,resnet101_w1_0
Image Classification,Offline,64.09,3990.920032,3990.920032,3990.920032,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:352,mobilenetv2_w1_0
Image Classification,Offline,75,886.7088762,886.7088762,886.7088762,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:352,resnet50_w1_0
Image Classification,Offline,76.99,472.0505381,472.0505381,472.0505381,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:352,resnet101_w1_0
Image Classification,Offline,64.33,4138.38082,4138.38082,4138.38082,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:336,mobilenetv2_w1_0
Image Classification,Offline,74.91,991.5027985,991.5027985,991.5027985,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:336,resnet50_w1_0
Image Classification,Offline,77.28,564.8689704,564.8689704,564.8689704,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:336,resnet101_w1_0
Image Classification,Offline,65.31,4882.486168,4882.486168,4882.486168,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:320,mobilenetv2_w1_0
Image Classification,Offline,75.15,1082.208459,1082.208459,1082.208459,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:320,resnet50_w1_0
Image Classification,Offline,77.33,610.2365479,610.2365479,610.2365479,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:320,resnet101_w1_0
Image Classification,Offline,65.74,5298.663335,5298.663335,5298.663335,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:304,mobilenetv2_w1_0
Image Classification,Offline,75.49,1130.008426,1130.008426,1130.008426,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:304,resnet50_w1_0
Image Classification,Offline,77.52,644.0368806,644.0368806,644.0368806,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:304,resnet101_w1_0
Image Classification,Offline,66.72,5512.334316,5512.334316,5512.334316,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:288,mobilenetv2_w1_0
Image Classification,Offline,75.64,1167.938453,1167.938453,1167.938453,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:288,resnet50_w1_0
Image Classification,Offline,77.88,673.0617919,673.0617919,673.0617919,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:288,resnet101_w1_0
Image Classification,Offline,66.06,6923.729987,6923.729987,6923.729987,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:272,mobilenetv2_w1_0
Image Classification,Offline,75.65,1258.56421,1258.56421,1258.56421,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:272,resnet50_w1_0
Image Classification,Offline,77.88,690.3017751,690.3017751,690.3017751,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:272,resnet101_w1_0
Image Classification,Offline,66.55,6070.965672,6070.965672,6070.965672,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:256,mobilenetv2_w1_0
Image Classification,Offline,75.78,1604.843652,1604.843652,1604.843652,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:256,resnet50_w1_0
Image Classification,Offline,77.76,1070.267237,1070.267237,1070.267237,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:256,resnet101_w1_0
Image Classification,Offline,66.14,7001.049578,7001.049578,7001.049578,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:240,mobilenetv2_w1_0
Image Classification,Offline,75.59,1715.770567,1715.770567,1715.770567,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:240,resnet50_w1_0
Image Classification,Offline,77.99,1120.783969,1120.783969,1120.783969,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:240,resnet101_w1_0
Image Classification,Offline,67.57,7152.899231,7152.899231,7152.899231,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:224,mobilenetv2_w1_0
Image Classification,Offline,76.83,1823.919917,1823.919917,1823.919917,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:224,resnet50_w1_0
Image Classification,Offline,79.24,1178.529828,1178.529828,1178.529828,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:224,resnet101_w1_0
Image Classification,Offline,64.72,9121.491347,9121.491347,9121.491347,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:208,mobilenetv2_w1_0
Image Classification,Offline,75.32,1933.675122,1933.675122,1933.675122,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:208,resnet50_w1_0
Image Classification,Offline,77.48,1213.096079,1213.096079,1213.096079,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:208,resnet101_w1_0
Image Classification,Offline,64.67,8615.7411,8615.7411,8615.7411,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:192,mobilenetv2_w1_0
Image Classification,Offline,74.45,1922.025337,1922.025337,1922.025337,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:192,resnet50_w1_0
Image Classification,Offline,76.62,1208.019378,1208.019378,1208.019378,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:192,resnet101_w1_0
Image Classification,Offline,63.19,9333.998444,9333.998444,9333.998444,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:176,mobilenetv2_w1_0
Image Classification,Offline,73.33,2103.977201,2103.977201,2103.977201,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:176,resnet50_w1_0
Image Classification,Offline,76.06,1281.114031,1281.114031,1281.114031,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:176,resnet101_w1_0
Image Classification,Offline,61.07,10882.80887,10882.80887,10882.80887,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:160,mobilenetv2_w1_0
Image Classification,Offline,72.14,2215.07144,2215.07144,2215.07144,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:160,resnet50_w1_0
Image Classification,Offline,74.63,1314.261683,1314.261683,1314.261683,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:160,resnet101_w1_0
Image Classification,Offline,57.82,10701.83237,10701.83237,10701.83237,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:144,mobilenetv2_w1_0
Image Classification,Offline,69.96,2224.282691,2224.282691,2224.282691,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:144,resnet50_w1_0
Image Classification,Offline,72.75,1329.822162,1329.822162,1329.822162,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:144,resnet101_w1_0
Image Classification,Offline,53.73,11101.41917,11101.41917,11101.41917,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:128,mobilenetv2_w1_0
Image Classification,Offline,66.49,2277.254456,2277.254456,2277.254456,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:128,resnet50_w1_0
Image Classification,Offline,69.99,1348.034467,1348.034467,1348.034467,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:128,resnet101_w1_0
Image Classification,Offline,47.98,12163.27005,12163.27005,12163.27005,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:112,mobilenetv2_w1_0
Image Classification,Offline,62.3,2318.298535,2318.298535,2318.298535,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:112,resnet50_w1_0
Image Classification,Offline,64.71,1358.699838,1358.699838,1358.699838,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:112,resnet101_w1_0
Image Classification,Offline,38.69,12753.23107,12753.23107,12753.23107,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:96,mobilenetv2_w1_0
Image Classification,Offline,53.95,2354.778039,2354.778039,2354.778039,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:96,resnet50_w1_0
Image Classification,Offline,56.65,1374.156849,1374.156849,1374.156849,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:96,resnet101_w1_0
Image Classification,Offline,29.21,13689.27527,13689.27527,13689.27527,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:80,mobilenetv2_w1_0
Image Classification,Offline,43.89,2388.788868,2388.788868,2388.788868,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:80,resnet50_w1_0
Image Classification,Offline,46.6,1379.166619,1379.166619,1379.166619,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:80,resnet101_w1_0
Image Classification,Offline,16.21,14013.40272,14013.40272,14013.40272,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:64,mobilenetv2_w1_0
Image Classification,Offline,28.74,2404.842723,2404.842723,2404.842723,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:64,resnet50_w1_0
Image Classification,Offline,31.38,1386.451448,1386.451448,1386.451448,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:64,resnet101_w1_0
Image Classification,Offline,6.63,14019.18874,14019.18874,14019.18874,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:48,mobilenetv2_w1_0
Image Classification,Offline,13.73,2406.721668,2406.721668,2406.721668,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:48,resnet50_w1_0
Image Classification,Offline,15.92,1387.366539,1387.366539,1387.366539,N/A,Mobilint-ARIES,"mobilint(cpp) multi, maxMultiThreads=64",inputResolution:48,resnet101_w1_0
Image Classification,Offline,74.2,169.279212,169.279212,169.279212,Apple M4 ANE,Apple M4 ANE,Apple M4 ANE (OpenMP Enabled),inputResolution:448,resnet101_w1_0
Image Classification,Offline,72.07,268.4843721,268.4843721,268.4843721,Apple M4 ANE,Apple M4 ANE,Apple M4 ANE (OpenMP Enabled),inputResolution:448,resnet50_w1_0
Image Classification,Offline,59.45,631.9857473,631.9857473,631.9857473,Apple M4 ANE,Apple M4 ANE,Apple M4 ANE (OpenMP Enabled),inputResolution:448,mobilenetv2_w1_0
Image Classification,Offline,74.81,170.7815268,170.7815268,170.7815268,Apple M4 ANE,Apple M4 ANE,Apple M4 ANE (OpenMP Enabled),inputResolution:432,resnet101_w1_0
Image Classification,Offline,72.58,272.2689108,272.2689108,272.2689108,Apple M4 ANE,Apple M4 ANE,Apple M4 ANE (OpenMP Enabled),inputResolution:432,resnet50_w1_0
Image Classification,Offline,59.49,655.8145833,655.8145833,655.8145833,Apple M4 ANE,Apple M4 ANE,Apple M4 ANE (OpenMP Enabled),inputResolution:432,mobilenetv2_w1_0
Image Classification,Offline,75.52,177.6581136,177.6581136,177.6581136,Apple M4 ANE,Apple M4 ANE,Apple M4 ANE (OpenMP Enabled),inputResolution:416,resnet101_w1_0
Image Classification,Offline,73.2,286.6545049,286.6545049,286.6545049,Apple M4 ANE,Apple M4 ANE,Apple M4 ANE (OpenMP Enabled),inputResolution:416,resnet50_w1_0
Image Classification,Offline,61.15,722.3438338,722.3438338,722.3438338,Apple M4 ANE,Apple M4 ANE,Apple M4 ANE (OpenMP Enabled),inputResolution:416,mobilenetv2_w1_0
Image Classification,Offline,76.03,177.4002259,177.4002259,177.4002259,Apple M4 ANE,Apple M4 ANE,Apple M4 ANE (OpenMP Enabled),inputResolution:400,resnet101_w1_0
Image Classification,Offline,73.44,287.7129384,287.7129384,287.7129384,Apple M4 ANE,Apple M4 ANE,Apple M4 ANE (OpenMP Enabled),inputResolution:400,resnet50_w1_0
