task,scenario,accuracy,epoch_samples_per_second_min,samples_per_second,epoch_samples_per_second_max,cpu_type,accelerator_type,submitter,input_resolution,benchmark_model
Image Classification,Offline,65.56,1060.265668,1060.265668,1060.265668,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:320,mobilenetv2_w1_0
Image Classification,Offline,77.69,197.1535366,197.1535366,197.1535366,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:320,resnet101_w1_0
Image Classification,Offline,75.21,532.1249774,532.1249774,532.1249774,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:320,resnet50_w1_0
Image Classification,Offline,65.8,1142.98369,1142.98369,1142.98369,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:304,mobilenetv2_w1_0
Image Classification,Offline,78.1,209.1023579,209.1023579,209.1023579,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:304,resnet101_w1_0
Image Classification,Offline,75.37,334.5130122,334.5130122,334.5130122,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:304,resnet50_w1_0
Image Classification,Offline,66.54,1252.996366,1252.996366,1252.996366,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:288,mobilenetv2_w1_0
Image Classification,Offline,77.75,228.6282543,228.6282543,228.6282543,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:288,resnet101_w1_0
Image Classification,Offline,75.29,402.9748771,402.9748771,402.9748771,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:288,resnet50_w1_0
Image Classification,Offline,66.13,1353.773289,1353.773289,1353.773289,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:272,mobilenetv2_w1_0
Image Classification,Offline,78.05,222.5893694,222.5893694,222.5893694,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:272,resnet101_w1_0
Image Classification,Offline,75.55,418.7854213,418.7854213,418.7854213,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:272,resnet50_w1_0
Image Classification,Offline,66.54,1761.957139,1761.957139,1761.957139,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:256,mobilenetv2_w1_0
Image Classification,Offline,78.33,294.7569047,294.7569047,294.7569047,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:256,resnet101_w1_0
Image Classification,Offline,76.06,798.887881,798.887881,798.887881,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:256,resnet50_w1_0
Image Classification,Offline,66.52,1974.971392,1974.971392,1974.971392,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:240,mobilenetv2_w1_0
Image Classification,Offline,78.29,307.0536416,307.0536416,307.0536416,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:240,resnet101_w1_0
Image Classification,Offline,75.78,860.6905751,860.6905751,860.6905751,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:240,resnet50_w1_0
Image Classification,Offline,67.78,2278.63136,2278.63136,2278.63136,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:224,mobilenetv2_w1_0
Image Classification,Offline,79.21,321.6487007,321.6487007,321.6487007,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:224,resnet101_w1_0
Image Classification,Offline,76.94,923.2832946,923.2832946,923.2832946,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:224,resnet50_w1_0
Image Classification,Offline,65.1,2318.713184,2318.713184,2318.713184,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:208,mobilenetv2_w1_0
Image Classification,Offline,77.41,371.2191904,371.2191904,371.2191904,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:208,resnet101_w1_0
Image Classification,Offline,75.38,1226.123474,1226.123474,1226.123474,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:208,resnet50_w1_0
Image Classification,Offline,64.82,2562.621237,2562.621237,2562.621237,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:192,mobilenetv2_w1_0
Image Classification,Offline,77.13,379.0971686,379.0971686,379.0971686,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:192,resnet101_w1_0
Image Classification,Offline,74.54,1468.144503,1468.144503,1468.144503,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:192,resnet50_w1_0
Image Classification,Offline,63.93,2811.654124,2811.654124,2811.654124,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:176,mobilenetv2_w1_0
Image Classification,Offline,72.02,1763.89766,1763.89766,1763.89766,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:160,resnet50_w1_0
Image Classification,Offline,58.79,3788.192907,3788.192907,3788.192907,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:144,mobilenetv2_w1_0
Image Classification,Offline,48.42,5648.662426,5648.662426,5648.662426,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:112,mobilenetv2_w1_0
Image Classification,Offline,39.5,7319.195985,7319.195985,7319.195985,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:96,mobilenetv2_w1_0
Image Classification,Offline,43.62,4794.542593,4794.542593,4794.542593,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:80,resnet50_w1_0
Image Classification,Offline,65.02,612.8091851,612.8091851,612.8091851,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:112,resnet101_w1_0
Image Classification,Offline,62.18,3046.106079,3046.106079,3046.106079,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:112,resnet50_w1_0
Image Classification,Offline,29.25,7920.336391,7920.336391,7920.336391,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:80,mobilenetv2_w1_0
Image Classification,Offline,16.59,11515.29304,11515.29304,11515.29304,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:64,mobilenetv2_w1_0
Image Classification,Offline,15.65,759.1666093,759.1666093,759.1666093,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:48,resnet101_w1_0
Image Classification,Offline,73.47,1399.465001,1399.465001,1399.465001,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:176,resnet50_w1_0
Image Classification,Offline,61.53,3281.257274,3281.257274,3281.257274,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:160,mobilenetv2_w1_0
Image Classification,Offline,74.85,420.2394503,420.2394503,420.2394503,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:160,resnet101_w1_0
Image Classification,Offline,53.96,5357.754094,5357.754094,5357.754094,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:128,mobilenetv2_w1_0
Image Classification,Offline,69.76,588.283017,588.283017,588.283017,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:128,resnet101_w1_0
Image Classification,Offline,66.47,3216.499905,3216.499905,3216.499905,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:128,resnet50_w1_0
Image Classification,Offline,56.67,663.9214128,663.9214128,663.9214128,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:96,resnet101_w1_0
Image Classification,Offline,53.84,4084.923879,4084.923879,4084.923879,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:96,resnet50_w1_0
Image Classification,Offline,6.78,12528.882,12528.882,12528.882,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:48,mobilenetv2_w1_0
Image Classification,Offline,13.8,8464.28477,8464.28477,8464.28477,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:48,resnet50_w1_0
Image Classification,Offline,75.97,396.2645883,396.2645883,396.2645883,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:176,resnet101_w1_0
Image Classification,Offline,72.54,439.4433921,439.4433921,439.4433921,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:144,resnet101_w1_0
Image Classification,Offline,69.76,1941.117063,1941.117063,1941.117063,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:144,resnet50_w1_0
Image Classification,Offline,46.29,736.9393329,736.9393329,736.9393329,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:80,resnet101_w1_0
Image Classification,Offline,31.39,729.8884277,729.8884277,729.8884277,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:64,resnet101_w1_0
Image Classification,Offline,28.43,7449.273532,7449.273532,7449.273532,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:64,resnet50_w1_0
Image Classification,Offline,74.16,194.0791715,194.0791715,194.0791715,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:448,resnet101_w1_0
Image Classification,Offline,72.78,335.6471812,335.6471812,335.6471812,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:432,resnet50_w1_0
Image Classification,Offline,72.33,311.8160564,311.8160564,311.8160564,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:448,resnet50_w1_0
Image Classification,Offline,74.99,208.1117673,208.1117673,208.1117673,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:432,resnet101_w1_0
Image Classification,Offline,59.74,642.6677437,642.6677437,642.6677437,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:432,mobilenetv2_w1_0
Image Classification,Offline,61.84,753.543862,753.543862,753.543862,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:400,mobilenetv2_w1_0
Image Classification,Offline,63.54,821.8448128,821.8448128,821.8448128,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:384,mobilenetv2_w1_0
Image Classification,Offline,63.89,870.521968,870.521968,870.521968,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:368,mobilenetv2_w1_0
Image Classification,Offline,66.18,1430.886879,1430.886879,1430.886879,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:304,mobilenetv2_w1_0
Image Classification,Offline,77.73,477.544579,477.544579,477.544579,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:272,resnet101_w1_0
Image Classification,Offline,75.84,732.5818277,732.5818277,732.5818277,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:272,resnet50_w1_0
Image Classification,Offline,66.24,1795.700995,1795.700995,1795.700995,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:272,mobilenetv2_w1_0
